exact_age,Male_Death_probability,Male_Number_of_lives,Male_Life_expectancy,Female_Death_probability,Female_Number_of_lives,Female_Life_expectancy
0,0.006364,100000,76.04,0.005331,100000,80.99
1,0.000432,99364,75.52,0.000359,99467,80.43
2,0.000284,99321,74.55,0.000247,99431,79.46
3,0.000234,99292,73.58,0.000169,99407,78.48
4,0.000170,99269,72.59,0.000155,99390,77.49
5,0.000157,99252,71.60,0.000135,99375,76.50
6,0.000147,99237,70.62,0.000120,99361,75.51
7,0.000136,99222,69.63,0.000109,99349,74.52
8,0.000120,99209,68.64,0.000100,99338,73.53
9,0.000101,99197,67.64,0.000094,99328,72.54
10,0.000088,99187,66.65,0.000093,99319,71.54
11,0.000093,99178,65.66,0.000098,99310,70.55
12,0.000130,99169,64.66,0.000113,99300,69.56
13,0.000209,99156,63.67,0.000140,99289,68.56
14,0.000320,99135,62.68,0.000176,99275,67.57
15,0.000441,99103,61.70,0.000216,99258,66.58
16,0.000564,99060,60.73,0.000259,99236,65.60
17,0.000701,99004,59.76,0.000301,99211,64.62
18,0.000851,98934,58.81,0.000342,99181,63.63
19,0.001007,98850,57.86,0.000381,99147,62.66
20,0.001173,98751,56.91,0.000423,99109,61.68
21,0.001331,98635,55.98,0.000466,99067,60.71
22,0.001455,98504,55.05,0.000505,99021,59.73
23,0.001531,98360,54.13,0.000539,98971,58.76
24,0.001572,98210,53.22,0.000568,98918,57.80
25,0.001602,98055,52.30,0.000598,98861,56.83
26,0.001635,97898,51.38,0.000630,98802,55.86
27,0.001669,97738,50.47,0.000666,98740,54.90
28,0.001708,97575,49.55,0.000707,98674,53.93
29,0.001752,97408,48.63,0.000753,98605,52.97
30,0.001794,97238,47.72,0.000803,98530,52.01
31,0.001835,97063,46.80,0.000853,98451,51.05
32,0.001880,96885,45.89,0.000905,98367,50.09
33,0.001930,96703,44.97,0.000956,98278,49.14
34,0.001986,96516,44.06,0.001009,98184,48.19
35,0.002052,96325,43.15,0.001069,98085,47.23
36,0.002125,96127,42.23,0.001134,97980,46.28
37,0.002196,95923,41.32,0.001199,97869,45.34
38,0.002264,95712,40.41,0.001263,97752,44.39
39,0.002334,95495,39.50,0.001329,97628,43.45
40,0.002420,95272,38.59,0.001403,97499,42.50
41,0.002530,95042,37.69,0.001491,97362,41.56
42,0.002663,94801,36.78,0.001597,97217,40.62
43,0.002823,94549,35.88,0.001724,97061,39.69
44,0.003013,94282,34.98,0.001871,96894,38.76
45,0.003229,93998,34.08,0.002033,96713,37.83
46,0.003479,93694,33.19,0.002212,96516,36.90
47,0.003780,93369,32.30,0.002417,96303,35.98
48,0.004140,93016,31.43,0.002651,96070,35.07
49,0.004553,92631,30.55,0.002911,95815,34.16
50,0.005007,92209,29.69,0.003193,95536,33.26
51,0.005493,91747,28.84,0.003492,95231,32.36
52,0.006016,91243,27.99,0.003803,94899,31.48
53,0.006575,90694,27.16,0.004126,94538,30.59
54,0.007170,90098,26.34,0.004462,94148,29.72
